activity_id,athlete_id,athlete_name,activity_date,duration_minutes,distance_miles,elevation_gain_feet,trackpoint_count,duplicate_activity_flag
1,1,Athlete A,6/19/2019,41.53,5.04,203.08,2000,FALSE
2,1,Athlete A,7/31/2019,37.95,1.21,118.11,500,FALSE
3,1,Athlete A,7/31/2019,41.7,4.65,209.32,1855,FALSE
4,1,Athlete A,8/2/2019,32.25,3.73,115.81,1512,FALSE
5,1,Athlete A,8/6/2019,22.88,2.37,64.96,944,FALSE
6,1,Athlete A,8/7/2019,17.02,1.48,139.11,538,FALSE
7,1,Athlete A,8/7/2019,13.3,1.56,156.5,560,FALSE
8,1,Athlete A,8/7/2019,24.75,1.81,202.43,724,FALSE
9,1,Athlete A,8/9/2019,70.82,5.33,131.89,2157,FALSE
10,1,Athlete A,9/24/2019,44.58,5.01,429.46,1749,FALSE
11,1,Athlete A,9/24/2019,20.1,3.03,279.2,1058,FALSE
12,1,Athlete A,10/18/2019,35.95,5.08,438.98,1723,FALSE
13,1,Athlete A,11/10/2019,42.92,5.51,149.28,2243,FALSE
14,1,Athlete A,5/23/2015,75.42,19.82,2601.38,4072,FALSE
15,1,Athlete A,5/29/2015,86.88,22.18,2288.39,4336,FALSE
16,1,Athlete A,6/17/2020,22.27,3.08,204.72,1097,FALSE
17,2,Athlete B,9/20/2019,44.83,5.46,310.37,913,FALSE
18,2,Athlete B,9/21/2019,35.48,4.38,107.94,755,FALSE
19,2,Athlete B,9/22/2019,34.22,4.11,82.68,594,FALSE
20,2,Athlete B,9/22/2019,13.57,1.22,15.09,267,FALSE
22,2,Athlete B,9/24/2019,65.78,7.94,168.64,1420,FALSE
26,2,Athlete B,9/28/2019,17.63,3.11,125.98,413,FALSE
27,2,Athlete B,9/28/2019,56.55,5.29,165.03,830,FALSE
28,2,Athlete B,9/29/2019,59.87,7.8,545.6,1334,FALSE
29,2,Athlete B,10/1/2019,61.37,8.09,189.63,1356,FALSE
30,2,Athlete B,10/2/2019,3.43,0.4,8.53,58,FALSE
31,2,Athlete B,10/2/2019,56.35,5.99,137.14,1131,FALSE
33,2,Athlete B,10/4/2019,11.67,1.49,30.84,276,FALSE
34,2,Athlete B,10/6/2019,17.05,0.09,3.61,14,FALSE
35,2,Athlete B,10/8/2019,41.52,5.14,661.75,947,FALSE
37,2,Athlete B,10/9/2019,37.22,4.01,537.07,653,FALSE
38,2,Athlete B,10/10/2019,53.05,6.32,154.53,1112,FALSE
39,2,Athlete B,10/10/2019,31.55,4.07,293.31,701,FALSE
40,2,Athlete B,10/12/2019,4.1,0.35,11.81,36,FALSE
41,2,Athlete B,10/12/2019,23.25,2.88,297.9,526,FALSE
43,2,Athlete B,10/24/2019,7,0.71,85.63,243,FALSE
44,2,Athlete B,11/29/2019,59.85,7.98,373.69,1301,FALSE
45,2,Athlete B,11/30/2019,75.67,10.87,296.92,1722,FALSE
47,2,Athlete B,12/3/2019,68.67,5.38,403.22,973,FALSE
49,2,Athlete B,12/5/2019,56.57,7.71,139.76,1219,FALSE
